Table: Ground-state properties of even-even nuclei calculated by the DRHBc theory

Z				Proton number
N				Neutron number
A				Mass number
Eb_cal			(MeV) Binding energy from DRHBc calculations
Ebrot_cal		(MeV) Binding energy plus rotational correction energy from DRHBc calculations, which is suggested to be compared with the experimental value
Eb_exp			(MeV) Binding energy from experimental data
S2n				(MeV) Two-neutron separation energy
S2p				(MeV) Two-proton separation energy
Rn				(fm) Neutron root-mean-square radius
Rp				(fm) Proton root-mean-square radius
Rm				(fm) Matter root-mean-square radius
Rch_cal			(fm) Charge radius from DRHBc calculations
Rch_exp			(fm) Charge radius from experimental data
beta_n			Neutron quadrupole deformation
beta_p			Proton quadrupole deformation
beta_t			Matter quadrupole deformation
lam_n			(MeV) Neutron Fermi surface
lam_p			(MeV) Proton Fermi surface

Note: Unavailable data are shown by ####

Z	A	N	Eb_cal	Ebrot_cal	Eb_exp	S2n	S2p	    Rn	    Rp	    Rm	    Rch_cal	Rch_exp	beta_n	beta_p	beta_t	lam_n	lam_p
8	12	4	59.70	59.70	58.58	####	-2.37	2.33	2.91	2.73	3.02	####	0.000	0.000	0.000	-19.36	-2.15
8	14	6	101.16	101.16	98.73	41.46	1.49	2.25	2.64	2.48	2.76	####	0.000	0.000	0.000	-16.55	-1.18
8	16	8	127.28	127.28	127.62	26.11	20.45	2.63	2.65	2.64	2.77	2.70	0.000	0.000	0.000	-11.42	-7.78
8	18	10	140.97	140.97	139.81	13.69	27.18	2.81	2.64	2.73	2.76	2.77	0.000	0.000	0.000	-6.67	-11.63
8	20	12	152.43	152.43	151.37	11.47	33.79	2.96	2.64	2.84	2.76	####	0.000	0.000	0.000	-5.70	-15.15
8	22	14	162.45	162.45	162.03	10.02	40.10	3.11	2.65	2.95	2.77	####	0.000	0.000	0.000	-4.88	-18.31
8	24	16	171.07	171.07	168.95	8.62	45.83	3.27	2.66	3.08	2.78	####	0.000	0.000	0.000	-3.33	-20.24
8	26	18	174.80	174.80	168.93	3.73	50.72	3.43	2.73	3.23	2.85	####	0.000	0.000	0.000	-2.12	-22.16
8	28	20	178.14	178.14	####	3.34	54.80	3.57	2.79	3.37	2.91	####	0.000	0.000	0.000	-0.85	-24.13
8	30	22	177.41	177.41	####	-0.73	55.27	3.88	2.81	3.63	2.92	####	0.000	0.000	0.000	0.04	-24.59
10	16	6	100.15	100.15	97.33	####	-1.01	2.29	3.01	2.76	3.12	####	0.000	0.000	0.000	-19.51	0.50
10	18	8	133.09	133.09	132.14	32.94	5.81	2.63	2.85	2.75	2.96	2.97	0.000	0.000	0.000	-15.21	-2.47
10	20	10	155.57	158.24	160.64	22.48	14.60	2.87	2.90	2.88	3.01	3.01	0.535	0.550	0.542	-11.69	-7.47
10	22	12	175.57	178.50	177.77	20.00	23.13	2.96	2.84	2.91	2.95	2.95	0.494	0.460	0.479	-8.45	-11.51
10	24	14	189.95	192.86	191.84	14.38	27.50	3.02	2.79	2.92	2.90	2.90	-0.245	-0.197	-0.225	-7.28	-13.05
10	26	16	201.96	201.96	201.55	12.01	30.89	3.17	2.79	3.03	2.90	2.93	0.000	0.000	0.000	-5.29	-14.50
10	28	18	209.59	209.59	206.87	7.63	34.79	3.33	2.86	3.17	2.97	2.96	0.000	0.000	0.000	-4.05	-16.53
10	30	20	216.90	216.90	211.04	7.31	38.76	3.46	2.92	3.29	3.03	####	0.000	0.000	0.000	-2.48	-18.53
10	32	22	218.19	218.19	####	1.29	40.78	3.63	2.95	3.43	3.05	####	0.000	0.000	0.000	-0.93	-19.89
10	34	24	220.39	223.30	####	2.20	43.91	3.80	3.04	3.59	3.14	####	0.448	0.364	0.423	-1.05	-22.58
10	36	26	221.32	223.85	####	0.93	45.98	3.96	3.08	3.74	3.18	####	0.484	0.405	0.462	-0.51	-23.96
10	38	28	221.49	224.49	####	0.17	47.53	4.11	3.08	3.86	3.18	####	0.389	0.325	0.373	-0.29	-24.58
10	40	30	221.34	224.46	####	-0.15	48.98	4.25	3.08	3.99	3.18	####	0.285	0.275	0.283	-0.13	-25.15
12	18	6	96.40	96.40	####	####	-3.75	2.31	3.31	3.01	3.40	####	0.000	0.000	0.000	-22.21	1.88
12	20	8	135.54	135.54	134.56	39.14	2.45	2.64	3.04	2.89	3.14	####	0.000	0.000	0.000	-18.45	-0.95
12	22	10	166.21	169.09	168.58	30.67	10.64	2.83	3.01	2.93	3.11	3.07	0.459	0.518	0.491	-15.69	-3.49
12	24	12	199.01	206.16	198.26	32.80	23.44	2.83	2.86	2.85	2.97	3.06	0.507	0.514	0.511	-12.98	-7.93
12	26	14	215.48	220.52	216.68	16.47	25.53	2.91	2.82	2.86	2.93	3.03	0.261	0.344	0.299	-8.13	-11.26
12	28	16	229.26	231.59	231.63	13.78	27.29	3.14	2.95	3.06	3.06	3.07	0.298	0.344	0.318	-7.21	-12.77
12	30	18	240.96	243.12	241.63	11.71	31.37	3.28	2.98	3.16	3.09	3.11	0.216	0.310	0.254	-5.56	-14.84
12	32	20	252.21	252.21	249.72	11.25	35.31	3.38	3.01	3.24	3.11	3.19	0.000	0.000	0.000	-4.43	-16.87
12	34	22	257.68	260.61	256.71	5.47	39.49	3.55	3.09	3.39	3.19	####	0.377	0.392	0.382	-3.77	-18.20
12	36	24	263.90	266.85	260.80	6.22	43.51	3.67	3.13	3.50	3.23	####	0.435	0.421	0.430	-2.69	-19.84
12	38	26	267.78	271.05	####	3.88	46.46	3.80	3.16	3.61	3.26	####	0.460	0.418	0.447	-1.85	-21.36
12	40	28	270.42	273.57	####	2.64	48.93	3.92	3.18	3.72	3.28	####	0.455	0.407	0.440	-1.17	-22.75
12	42	30	271.64	274.79	####	1.22	50.30	4.06	3.20	3.83	3.30	####	0.385	0.382	0.384	-0.72	-23.68
12	44	32	272.31	275.36	####	0.67	51.37	4.18	3.21	3.94	3.31	####	0.294	0.348	0.309	-0.49	-24.41
12	46	34	272.57	275.31	####	0.26	52.22	4.28	3.23	4.03	3.32	####	0.219	0.317	0.245	-0.24	-25.26
12	48	36	272.35	272.35	####	-0.22	53.15	4.33	3.21	4.08	3.30	####	0.000	0.000	0.000	0.05	-26.38
14	22	8	135.48	135.48	####	####	-0.06	2.66	3.23	3.04	3.33	####	0.000	0.000	0.000	-21.13	0.31
14	24	10	169.91	172.61	172.01	34.43	3.70	2.79	3.10	2.97	3.20	####	-0.207	-0.283	-0.251	-17.12	-1.86
14	26	12	204.03	207.64	206.04	34.12	5.02	2.83	2.97	2.90	3.07	####	0.328	0.250	0.286	-15.95	-2.68
14	28	14	234.29	239.37	236.54	30.26	18.81	2.96	2.99	2.98	3.10	3.12	-0.296	-0.304	-0.300	-12.66	-6.98
14	30	16	253.02	253.02	255.62	18.74	23.77	3.05	2.94	3.00	3.05	3.13	0.000	0.000	0.000	-9.08	-9.97
14	32	18	269.39	271.61	271.41	16.37	28.43	3.22	3.05	3.15	3.15	####	-0.191	-0.194	-0.192	-7.84	-12.04
14	34	20	284.74	284.74	283.46	15.35	32.53	3.31	3.07	3.21	3.17	####	0.000	0.000	0.000	-6.49	-14.35
14	36	22	292.93	292.93	292.05	8.19	35.25	3.42	3.09	3.30	3.19	####	0.000	0.000	0.000	-4.08	-16.28
14	38	24	300.43	303.93	299.93	7.50	36.53	3.56	3.15	3.41	3.25	####	-0.213	-0.216	-0.214	-4.02	-17.73
14	40	26	307.81	311.49	306.23	7.38	40.03	3.69	3.20	3.53	3.30	####	-0.310	-0.286	-0.302	-3.83	-19.29
14	42	28	315.13	318.29	####	7.32	44.71	3.82	3.25	3.64	3.34	####	-0.390	-0.335	-0.372	-2.88	-20.84
14	44	30	318.49	322.01	####	3.35	46.85	3.92	3.25	3.72	3.35	####	-0.341	-0.297	-0.327	-1.78	-21.91
14	46	32	321.19	324.33	####	2.71	48.89	4.02	3.26	3.80	3.36	####	-0.287	-0.256	-0.277	-1.36	-23.04
14	48	34	323.96	323.96	####	2.77	51.39	4.09	3.20	3.85	3.30	####	0.000	0.000	0.000	-1.28	-24.08
14	50	36	324.71	324.71	####	0.76	52.37	4.18	3.25	3.94	3.35	####	0.000	0.000	0.000	-0.49	-25.00
14	52	38	324.97	324.97	####	0.25	53.43	4.27	3.30	4.03	3.40	####	0.000	0.000	0.000	-0.24	-25.82
14	54	40	324.76	324.76	####	-0.21	54.32	4.39	3.36	4.15	3.45	####	0.000	0.000	0.000	0.16	-26.44
16	24	8	133.36	133.36	####	####	-2.12	2.66	3.46	3.22	3.55	####	0.000	0.000	0.000	-23.70	2.10
16	26	10	170.96	170.96	####	37.61	1.06	2.78	3.28	3.10	3.38	####	0.000	0.000	0.000	-18.33	-1.19
16	28	12	207.00	209.32	209.41	36.03	2.97	2.94	3.21	3.10	3.31	####	0.344	0.310	0.324	-17.48	-1.28
16	30	14	241.38	241.38	243.68	34.39	7.09	2.92	3.10	3.02	3.21	####	0.000	0.000	0.000	-15.59	-2.94
16	32	16	269.35	269.35	271.78	27.97	16.33	3.06	3.10	3.08	3.20	3.26	0.000	0.000	0.000	-12.98	-6.79
16	34	18	289.29	289.29	291.84	19.93	19.90	3.19	3.14	3.17	3.24	3.28	0.000	0.000	0.000	-9.98	-8.87
16	36	20	308.37	308.37	308.71	19.08	23.63	3.31	3.18	3.25	3.28	3.30	0.000	0.000	0.000	-8.15	-10.80
16	38	22	320.45	322.56	321.05	12.08	27.52	3.42	3.21	3.33	3.31	####	0.160	0.169	0.164	-6.51	-12.62
16	40	24	332.92	335.55	333.17	12.48	32.49	3.53	3.25	3.42	3.34	####	0.282	0.254	0.271	-6.01	-14.54
16	42	26	343.41	346.39	344.12	10.48	35.59	3.62	3.27	3.49	3.37	####	0.303	0.268	0.290	-4.71	-16.41
16	44	28	351.42	354.35	351.82	8.01	36.28	3.74	3.30	3.59	3.40	####	0.340	0.276	0.317	-3.76	-17.70
16	46	30	357.64	360.41	####	6.22	39.15	3.83	3.31	3.66	3.41	####	0.279	0.239	0.265	-3.07	-19.17
16	48	32	363.01	365.81	####	5.37	41.82	3.93	3.33	3.74	3.42	####	-0.228	-0.187	-0.214	-2.69	-20.29
16	50	34	367.69	367.69	####	4.68	43.73	4.02	3.31	3.80	3.40	####	0.000	0.000	0.000	-2.27	-21.11
16	52	36	370.89	370.89	####	3.20	46.18	4.11	3.36	3.89	3.45	####	-0.031	-0.036	-0.032	-1.64	-22.30
16	54	38	373.47	373.47	####	2.58	48.51	4.19	3.40	3.97	3.50	####	0.000	0.000	0.000	-1.35	-23.45
16	56	40	375.62	375.62	####	2.14	50.86	4.27	3.46	4.05	3.55	####	0.000	0.000	0.000	-0.45	-24.61
16	58	42	375.08	375.08	####	-0.54	51.32	4.43	3.47	4.19	3.56	####	0.000	0.000	0.000	0.12	-25.10
18	30	12	206.58	208.97	####	####	-0.42	2.98	3.38	3.23	3.48	####	0.326	0.240	0.274	-19.27	0.74
18	32	14	244.76	246.95	246.40	38.19	3.38	3.03	3.29	3.18	3.39	3.35	-0.196	-0.202	-0.199	-17.45	-1.19
18	34	16	276.40	276.40	278.72	31.64	7.05	3.11	3.24	3.18	3.34	3.37	0.000	0.000	0.000	-15.07	-3.28
18	36	18	303.66	306.28	306.72	27.26	14.38	3.24	3.28	3.26	3.38	3.39	-0.185	-0.191	-0.188	-12.51	-5.78
18	38	20	327.13	327.13	327.34	23.47	18.76	3.33	3.29	3.31	3.39	3.40	0.000	0.000	0.000	-10.68	-8.73
18	40	22	343.28	343.28	343.81	16.14	22.83	3.42	3.30	3.37	3.40	3.43	0.000	0.000	0.000	-7.89	-10.87
18	42	24	358.45	360.56	359.34	15.17	25.52	3.51	3.32	3.43	3.42	3.44	-0.149	-0.164	-0.155	-7.52	-12.51
18	44	26	372.46	374.98	373.73	14.02	29.06	3.59	3.34	3.49	3.43	3.45	-0.176	-0.175	-0.176	-6.78	-14.10
18	46	28	385.13	387.54	386.97	12.67	33.72	3.66	3.35	3.54	3.44	3.44	-0.206	-0.185	-0.197	-5.61	-15.68
18	48	30	394.43	397.15	395.70	9.30	36.79	3.78	3.38	3.63	3.47	####	-0.211	-0.183	-0.200	-4.52	-16.86
18	50	32	402.35	404.97	####	7.92	39.33	3.88	3.41	3.72	3.50	####	-0.225	-0.186	-0.211	-3.84	-17.92
18	52	34	409.00	411.59	####	6.65	41.31	3.98	3.44	3.80	3.53	####	-0.222	-0.186	-0.209	-3.23	-19.03
18	54	36	414.54	416.86	####	5.54	43.65	4.06	3.46	3.87	3.55	####	-0.169	-0.165	-0.167	-2.69	-20.46
18	56	38	418.94	420.78	####	4.39	45.46	4.14	3.49	3.94	3.58	####	-0.114	-0.144	-0.123	-2.10	-21.88
18	58	40	423.45	423.45	####	4.51	47.83	4.20	3.53	4.01	3.62	####	0.000	0.000	0.000	-1.49	-23.26
18	60	42	424.23	424.23	####	0.78	49.15	4.30	3.55	4.09	3.64	####	0.000	0.000	0.000	-0.48	-24.11
18	62	44	424.46	426.80	####	0.23	49.96	4.41	3.57	4.18	3.66	####	0.065	0.045	0.059	-0.33	-24.77
18	64	46	424.99	427.18	####	0.53	50.92	4.52	3.60	4.28	3.69	####	-0.187	-0.162	-0.180	-0.45	-25.03
18	66	48	425.40	427.76	####	0.42	51.99	4.62	3.62	4.37	3.71	####	-0.231	-0.174	-0.216	-0.36	-25.42
18	68	50	425.66	428.07	####	0.26	53.25	4.72	3.64	4.46	3.73	####	-0.263	-0.182	-0.241	-0.25	-25.79
18	70	52	425.69	428.14	####	0.03	54.53	4.81	3.66	4.55	3.75	####	-0.277	-0.185	-0.253	-0.10	-26.28
18	72	54	425.46	427.91	####	-0.23	55.68	4.90	3.68	4.63	3.77	####	-0.274	-0.185	-0.252	0.07	-26.78
20	32	12	204.21	204.21	####	42.95	-2.36	3.00	3.49	3.32	3.58	####	0.000	0.000	0.000	-21.13	2.39
20	34	14	246.19	246.19	####	41.98	1.43	3.05	3.40	3.26	3.49	####	0.000	0.000	0.000	-19.68	-1.88
20	36	16	281.45	281.45	281.37	35.26	5.04	3.15	3.37	3.28	3.46	3.45	0.000	0.000	0.000	-16.90	-0.98
20	38	18	313.03	313.03	313.12	31.58	9.36	3.26	3.38	3.32	3.47	3.47	0.000	0.000	0.000	-15.43	-3.46
20	40	20	343.06	343.06	342.05	30.03	15.93	3.35	3.39	3.37	3.48	3.48	0.000	0.000	0.000	-12.98	-5.76
20	42	22	363.51	363.51	361.90	20.45	20.23	3.43	3.39	3.41	3.48	3.51	0.000	0.000	0.000	-9.95	-7.79
20	44	24	382.12	382.12	380.96	18.62	23.68	3.50	3.39	3.45	3.48	3.52	0.000	0.000	0.000	-9.12	-9.74
20	46	26	399.38	399.38	398.77	17.26	26.92	3.57	3.40	3.49	3.49	3.50	0.000	0.000	0.000	-8.39	-11.61
20	48	28	415.50	415.50	416.00	16.11	30.37	3.62	3.40	3.53	3.49	3.48	0.000	0.000	0.000	-7.02	-13.39
20	50	30	427.13	427.13	427.51	11.63	32.70	3.73	3.42	3.61	3.51	3.52	0.000	0.000	0.000	-5.76	-14.60
20	52	32	437.53	437.53	438.33	10.40	35.18	3.83	3.44	3.69	3.53	3.55	0.000	0.000	0.000	-5.03	-15.63
20	54	34	446.39	446.39	445.36	8.86	37.39	3.93	3.47	3.76	3.56	####	0.000	0.000	0.000	-4.42	-16.73
20	56	36	454.37	454.37	449.86	7.99	39.83	4.01	3.51	3.84	3.60	####	0.000	0.000	0.000	-4.06	-17.88
20	58	38	461.86	461.86	####	7.49	42.92	4.09	3.54	3.91	3.63	####	0.000	0.000	0.000	-3.73	-19.02
20	60	40	468.83	468.83	####	6.97	45.39	4.16	3.58	3.98	3.67	####	0.000	0.000	0.000	-2.59	-20.22
20	62	42	471.47	471.47	####	2.63	47.24	4.23	3.61	4.04	3.69	####	0.000	0.000	0.000	-1.34	-21.26
20	64	44	473.26	473.26	####	1.80	48.80	4.31	3.63	4.11	3.72	####	0.000	0.000	0.000	-1.04	-22.15
20	66	46	474.65	474.65	####	1.39	49.67	4.40	3.65	4.19	3.74	####	0.000	0.000	0.000	-0.87	-22.95
20	68	48	475.79	475.79	####	1.14	50.39	4.49	3.67	4.26	3.75	####	0.000	0.000	0.000	-0.76	-23.66
20	70	50	476.78	476.78	####	0.98	51.12	4.58	3.68	4.34	3.77	####	0.000	0.000	0.000	-0.67	-24.29
20	72	52	477.63	477.63	####	0.86	51.94	4.67	3.70	4.42	3.78	####	0.000	0.000	0.000	-0.60	-24.87
20	74	54	478.40	478.40	####	0.77	52.94	4.76	3.71	4.50	3.80	####	0.000	0.000	0.000	-0.52	-25.43
20	76	56	479.04	479.04	####	0.64	55.40	4.84	3.73	4.57	3.81	####	0.000	0.000	0.000	-0.42	-25.94
20	78	58	479.52	479.52	####	0.48	55.56	4.92	3.74	4.65	3.83	####	0.000	0.000	0.000	-0.30	-26.44
20	80	60	479.84	479.84	####	0.32	57.13	5.00	3.75	4.72	3.84	####	0.000	0.000	0.000	-0.11	-26.83
20	82	62	479.58	479.58	####	-0.26	58.35	5.08	3.77	4.80	3.85	####	0.000	0.000	0.000	0.20	-27.20
22	38	16	279.05	281.25	####	####	-2.39	3.19	3.51	3.38	3.60	####	0.171	0.181	0.177	-18.57	0.93
22	40	18	314.46	314.46	314.63	35.40	1.43	3.28	3.48	3.39	3.57	####	0.000	0.000	0.000	-17.53	-0.31
22	42	20	348.76	348.76	346.89	34.30	5.70	3.35	3.48	3.42	3.57	####	0.000	0.000	0.000	-15.01	-2.32
